id,mask,img,coverage,coverage_strata
bf05a52a6b,./drive/My Drive/tgs/train/masks/bf05a52a6b.png,./drive/My Drive/tgs/train/images/bf05a52a6b.png,0.00019605920988138416,0
bfbea83faa,./drive/My Drive/tgs/train/masks/bfbea83faa.png,./drive/My Drive/tgs/train/images/bfbea83faa.png,0.40995980786197433,4
bfa7ee102e,./drive/My Drive/tgs/train/masks/bfa7ee102e.png,./drive/My Drive/tgs/train/images/bfa7ee102e.png,0.9603960396039604,9
bfac8e63cb,./drive/My Drive/tgs/train/masks/bfac8e63cb.png,./drive/My Drive/tgs/train/images/bfac8e63cb.png,0.0,0
bf76c8aff3,./drive/My Drive/tgs/train/masks/bf76c8aff3.png,./drive/My Drive/tgs/train/images/bf76c8aff3.png,0.12822272326242526,1
bfb0e22b53,./drive/My Drive/tgs/train/masks/bfb0e22b53.png,./drive/My Drive/tgs/train/images/bfb0e22b53.png,0.3765317125771983,3
bf73cacab5,./drive/My Drive/tgs/train/masks/bf73cacab5.png,./drive/My Drive/tgs/train/images/bf73cacab5.png,0.01460641113616312,0
bfc47bbe13,./drive/My Drive/tgs/train/masks/bfc47bbe13.png,./drive/My Drive/tgs/train/images/bfc47bbe13.png,0.0,0
bfd1d7caa1,./drive/My Drive/tgs/train/masks/bfd1d7caa1.png,./drive/My Drive/tgs/train/images/bfd1d7caa1.png,0.0,0
bfcd0fb5ac,./drive/My Drive/tgs/train/masks/bfcd0fb5ac.png,./drive/My Drive/tgs/train/images/bfcd0fb5ac.png,0.10155867071855701,1
c00c4b8814,./drive/My Drive/tgs/train/masks/c00c4b8814.png,./drive/My Drive/tgs/train/images/c00c4b8814.png,0.3494755416135673,3
c02071548b,./drive/My Drive/tgs/train/masks/c02071548b.png,./drive/My Drive/tgs/train/images/c02071548b.png,0.9993137927654152,9
c073b8930c,./drive/My Drive/tgs/train/masks/c073b8930c.png,./drive/My Drive/tgs/train/images/c073b8930c.png,0.0013724144691696892,0
c092a99d23,./drive/My Drive/tgs/train/masks/c092a99d23.png,./drive/My Drive/tgs/train/images/c092a99d23.png,0.631310655818057,6
c0a37fef54,./drive/My Drive/tgs/train/masks/c0a37fef54.png,./drive/My Drive/tgs/train/images/c0a37fef54.png,0.6459170669542201,6
c038f6fbe4,./drive/My Drive/tgs/train/masks/c038f6fbe4.png,./drive/My Drive/tgs/train/images/c038f6fbe4.png,0.3714341731202823,3
c06ce71f9a,./drive/My Drive/tgs/train/masks/c06ce71f9a.png,./drive/My Drive/tgs/train/images/c06ce71f9a.png,0.0,0
c023a62b96,./drive/My Drive/tgs/train/masks/c023a62b96.png,./drive/My Drive/tgs/train/images/c023a62b96.png,0.8579551024409372,8
c026a17632,./drive/My Drive/tgs/train/masks/c026a17632.png,./drive/My Drive/tgs/train/images/c026a17632.png,0.11185177923732967,1
c0565001a3,./drive/My Drive/tgs/train/masks/c0565001a3.png,./drive/My Drive/tgs/train/images/c0565001a3.png,0.07244387805117146,0
c0aa0c7b66,./drive/My Drive/tgs/train/masks/c0aa0c7b66.png,./drive/My Drive/tgs/train/images/c0aa0c7b66.png,0.0,0
c09f4e95e8,./drive/My Drive/tgs/train/masks/c09f4e95e8.png,./drive/My Drive/tgs/train/images/c09f4e95e8.png,0.1785119105970003,1
c0b6fafc47,./drive/My Drive/tgs/train/masks/c0b6fafc47.png,./drive/My Drive/tgs/train/images/c0b6fafc47.png,0.0,0
c0cbdabcc3,./drive/My Drive/tgs/train/masks/c0cbdabcc3.png,./drive/My Drive/tgs/train/images/c0cbdabcc3.png,0.38623664346632686,3
c0ef23e386,./drive/My Drive/tgs/train/masks/c0ef23e386.png,./drive/My Drive/tgs/train/images/c0ef23e386.png,0.2857562984021174,2
